id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,year,decade
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,85,253920,0,['The Police'],['5NGO30tJxFlKixkPSgXcFE'],1983-06-17,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4,1983,1980
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,85,255493,0,['AC/DC'],['711MCceyCBcFnzjGY4Q7Un'],1980-07-25,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,4,1980,1980
2374M0fQpWi3dLnB54qaLX,Africa,84,295893,0,['TOTO'],['0PFtn5NtBbbUNbU9EAmIWF'],1982-04-08,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,4,1982,1980
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,84,249293,0,['Bon Jovi'],['58lV9VcRSjABbAbfWS6skp'],1986-08-16,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,4,1986,1980
4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,84,251489,0,['Tears For Fears'],['4bthk9UfsYUYdcFyqxmSUU'],1985-02-25,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4,1985,1980
5vdp5UmvTsnMEMESIF2Ym7,Another One Bites The Dust - Remastered 2011,83,214653,0,['Queen'],['1dfeR4HaWDbWqFHLkxsg1d'],1980-06-27,0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,4,1980,1980
2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),83,291293,0,['Whitney Houston'],['6XpaIBNiVzIetEPCWDvAFP'],1987-06-02,0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,4,1987,1980
1jDJFeK9x3OZboIAHsY9k2,I'm Still Standing,83,183440,0,['Elton John'],['3PhoLpVuITZKcymswpck5b'],1983-05-30,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,4,1983,1980
1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,83,216933,0,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']","['0NKDgy9j66h3DLnN8qu1bB', '5MspMQqdVbdwP6ax3GXqum', '7gcCQIlkkfbul5Mt0jBQkg']",1983-01-04,0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,4,1983,1980
0GONea6G2XdnHWjNZd6zt3,Summer Of '69,83,216053,0,['Bryan Adams'],['3Z02hBLubJxuFJfhacLSDc'],1984-11-05,0.508,0.834,2,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.131,4,1984,1980
1ko2lVN0vKGUl9zrU0qSlT,Just the Two of Us (feat. Bill Withers),82,237106,0,"['Grover Washington, Jr.', 'Bill Withers']","['05YVYeV4HxYp5rrWalvuE1', '1ThoqLcyIYvZn7iWbj8fsj']",1985,0.802,0.488,1,-9.304,1,0.0813,0.572,0.0598,0.0763,0.624,95.77,4,1985,1980
7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,82,354520,0,"[""Guns N' Roses""]",['3qm84nBOXUEQ2vnTfUTTFC'],1987-07-21,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,4,1987,1980
